start_lat,start_lng,end_lat,end_lng,start_station_id,end_station_id,weekday_name,cnt
37.772,-122.4537,37.772,-122.4537,377.0,377.0,Saturday,50
37.8088,-122.2497,37.8088,-122.2497,197.0,197.0,Saturday,44
37.8043,-122.4335,37.8043,-122.4335,400.0,400.0,Sunday,43
37.8043,-122.4335,37.8043,-122.4335,400.0,400.0,Saturday,43
37.772,-122.4537,37.772,-122.4537,377.0,377.0,Sunday,42
37.8088,-122.2497,37.8088,-122.2497,197.0,197.0,Sunday,40
37.8026,-122.4363,37.8026,-122.4363,399.0,399.0,Sunday,39
37.8002,-122.2538,37.8002,-122.2538,200.0,200.0,Saturday,36
37.773,-122.5091,37.773,-122.5091,521.0,521.0,Sunday,30
37.8088,-122.2497,37.8088,-122.2497,197.0,197.0,Friday,30
37.8046,-122.4021,37.8046,-122.4021,462.0,462.0,Saturday,30
37.8405,-122.2935,37.8405,-122.2935,155.0,155.0,Saturday,30
37.8089,-122.2565,37.8089,-122.2565,196.0,196.0,Saturday,29
37.8395,-122.2987,37.8395,-122.2987,409.0,409.0,Saturday,29
37.7766,-122.4174,37.7766,-122.4174,58.0,58.0,Sunday,28
37.772,-122.4537,37.773,-122.5091,377.0,521.0,Sunday,28
37.8662,-122.2994,37.8662,-122.2994,259.0,259.0,Saturday,26
37.8395,-122.2987,37.8395,-122.2987,409.0,409.0,Sunday,25
37.8088,-122.2497,37.8088,-122.2497,197.0,197.0,Wednesday,24
37.8046,-122.4021,37.8046,-122.4021,462.0,462.0,Sunday,24
37.773,-122.5091,37.773,-122.5091,521.0,521.0,Saturday,23
37.8088,-122.2497,37.8088,-122.2497,197.0,197.0,Tuesday,23
37.8395,-122.2987,37.8395,-122.2987,409.0,409.0,Friday,23
37.7752,-122.465,37.7752,-122.465,454.0,454.0,Sunday,22
37.8026,-122.4363,37.8026,-122.4363,399.0,399.0,Friday,22
37.7973,-122.3984,37.7973,-122.3984,11.0,11.0,Saturday,22
37.8405,-122.2935,37.8405,-122.2935,155.0,155.0,Sunday,22
37.3711,-121.8813,37.3711,-121.8813,444.0,444.0,Friday,22
37.8023,-122.4245,37.8023,-122.4245,441.0,441.0,Sunday,22
37.7733,-122.4712,37.7733,-122.4712,485.0,485.0,Sunday,21
37.7733,-122.4443,37.7733,-122.4443,70.0,70.0,Saturday,21
37.8078,-122.2645,37.8078,-122.2645,198.0,198.0,Saturday,21
37.7964,-122.3946,37.7964,-122.3946,12.0,12.0,Sunday,21
37.7973,-122.3984,37.7973,-122.3984,11.0,11.0,Sunday,21
37.8026,-122.4363,37.8026,-122.4363,399.0,399.0,Monday,20
37.8048,-122.4032,37.8048,-122.4032,6.0,6.0,Sunday,20
37.7765,-122.4113,37.7765,-122.4113,61.0,61.0,Saturday,20
37.8088,-122.2497,37.8088,-122.2497,197.0,197.0,Monday,19
37.8088,-122.2497,37.8088,-122.2497,197.0,197.0,Thursday,19
37.772,-122.4537,37.773,-122.5091,377.0,521.0,Saturday,19
37.7766,-122.4174,37.7945,-122.3948,58.0,16.0,Saturday,19
37.7766,-122.4174,37.7766,-122.4174,58.0,58.0,Saturday,18
37.7259,-122.4524,37.7259,-122.4524,498.0,498.0,Sunday,18
37.7731,-122.4391,37.7731,-122.4391,71.0,71.0,Saturday,18
37.7731,-122.4391,37.7731,-122.4391,71.0,71.0,Sunday,18
37.773,-122.5091,37.773,-122.5091,521.0,521.0,Monday,18
37.773,-122.5091,37.772,-122.4537,521.0,377.0,Sunday,18
37.7752,-122.465,37.7752,-122.465,454.0,454.0,Saturday,18
37.8405,-122.2935,37.8405,-122.2935,155.0,155.0,Friday,17
37.7639,-122.4707,37.7639,-122.4707,450.0,450.0,Saturday,17
37.8089,-122.2565,37.8089,-122.2565,196.0,196.0,Sunday,17
37.7639,-122.4707,37.7639,-122.4707,450.0,450.0,Sunday,17
37.7259,-122.4524,37.7259,-122.4524,498.0,498.0,Friday,17
37.7881,-122.3919,37.7881,-122.3919,27.0,27.0,Saturday,17
37.8027,-122.4136,37.8027,-122.4136,371.0,371.0,Sunday,17
37.8662,-122.2994,37.8662,-122.2994,259.0,259.0,Sunday,16
37.8026,-122.4363,37.8026,-122.4363,399.0,399.0,Thursday,16
37.7964,-122.3946,37.7964,-122.3946,12.0,12.0,Saturday,16
